,Aired,Duration,English,Episodes,Genres,Jap,Licensors,Producers,Ranked,Rating,Score,Source,Type
92," Jan 21, 2017", 1 hr. 40 min., Black Butler: Book of the Atlantic, 1,"Action, Comedy, Historical, Demons, Supernatural, Fantasy, Shounen", 劇場版 黒執事 Book of the Atlantic,Funimation ,"Aniplex,       Square Enix ",  #93, R - 17+ (violence & profanity),8.521 , Manga,Movie
93," Apr 3, 2011 to Sep 25, 2011", 23 min. per ep., Nichijou - My Ordinary Life, 26,"Slice of Life, Comedy, School, Shounen", 日常,"Funimation,       Bandai Entertainment ","Lantis,       Kadokawa Shoten,       Movic,       Rakuonsha,       Kadokawa Pictures Japan,       KlockWorx,       Animation Do ",  #94, PG-13 - Teens 13 or older,8.521 , Manga,TV
94," Feb 10, 2006 to Dec 26, 2012", 50 min. per ep., Hellsing Ultimate, 10,"Action, Military, Horror, Supernatural, Vampire, Seinen", HELLSING OVA,"Funimation,       Geneon Entertainment USA ","Geneon Universal Entertainment,       StudioRF Inc.,       Shounen Gahousha ",  #95, R - 17+ (violence & profanity),8.511 , Manga,OVA
95," Oct 9, 2014 to Mar 26, 2015", 23 min. per ep., Parasyte -the maxim-, 24,"Action, Sci-Fi, Horror, Psychological, Drama, Seinen", 寄生獣 セイの格率,Sentai Filmworks ,"VAP,       Kodansha,       Nippon Television Network,       Forecast Communications ",  #96, R - 17+ (violence & profanity),8.511 , Manga,TV
96," Aug 20, 2014", 47 min., Mushishi Path of Thorns, 1,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural", 蟲師 続章,Aniplex of America ,"Aniplex,       Kodansha,       Delfi Sound ",  #97, PG-13 - Teens 13 or older,8.511 , Manga,Special
97," Jul 8, 2011 to Sep 16, 2011", 22 min. per ep., Bunny Drop, 11,"Josei, Slice of Life", うさぎドロップ,"NIS America, Inc. ","Fuji TV,       Tohokushinsha Film Corporation,       Sony Music Entertainment,       Sakura Create,       Fuji Pacific Music Publishing ",  #98, PG-13 - Teens 13 or older,8.511 , Manga,TV
98," Aug 8, 2009", 2 hr. 1 min., the Garden of sinners Chapter 7: Murder Speculation Part B, 1,"Action, Mystery, Supernatural, Romance, Thriller", 劇場版 空の境界 the Garden of sinners 第七章『殺人考察（後）』,Aniplex of America ,Notes ,  #99, R - 17+ (violence & profanity),8.501 , Light novel,Movie
99," Jul 11, 2016 to Sep 27, 2016", 24 min. per ep., Mob Psycho 100, 12,"Action, Slice of Life, Comedy, Supernatural", モブサイコ100,"Funimation,       Crunchyroll ","Warner Bros.,       KlockWorx,       BS Fuji,       Hakuhodo DY Music & Pictures,       Shogakukan ",  #100, PG-13 - Teens 13 or older,8.501 , Web manga,TV
100," Apr 5, 2006 to Mar 28, 2007", 23 min. per ep., Nana, 47,"Music, Slice of Life, Comedy, Drama, Romance, Shoujo", NANA [ナナ],Viz Media ,"VAP,       Nippon Television Network,       Shueisha ",  #101, R+ - Mild Nudity,8.501 , Manga,TV
101," May 20, 2004 to Mar 19, 2005", 24 min. per ep., Samurai Champloo, 26,"Action, Adventure, Comedy, Historical, Samurai, Shounen", サムライチャンプルー,"Funimation,       Geneon Entertainment USA ","Victor Entertainment,       Fuji TV,       Barnum Studio,       Tokuma Shoten,       flying DOG ",  #102, R - 17+ (violence & profanity),8.501 , Original,TV
102," Apr 5, 2009 to Mar 28, 2010", 23 min. per ep., Cross Game, 50,"Comedy, Sports, Drama, Romance, School, Shounen", クロスゲーム,"    None found, add some ","TV Tokyo,       Shogakukan Productions ",  #103, PG-13 - Teens 13 or older,8.491 , Manga,TV
103," Aug 26, 2012", 1 hr. 36 min. per ep.,nan, 2,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen", 銀魂 よりぬき銀魂さんオンシアター2D,"    None found, add some ","    None found, add some ",  #104, PG-13 - Teens 13 or older,8.491 , Manga,Movie
104," Jun 8, 2013 to Mar 2, 2014", 25 min. per ep., Kingdom: Season 2, 39,"Action, Military, Historical, Seinen", キングダム 第2シリーズ,Funimation ,NHK ,  #105, R - 17+ (violence & profanity),8.491 , Manga,TV
105," Jul 19, 1997", 1 hr. 27 min., Neon Genesis Evangelion: The End of Evangelion, 1,"Sci-Fi, Dementia, Psychological, Drama, Mecha", 新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,Manga Entertainment ,"TV Tokyo,       Toei Animation,       Kadokawa Shoten,       Movic,       Sega,       TV Tokyo Music,       Audio Tanaka ",  #106, R+ - Mild Nudity,8.491 , Original,Movie
106," Jul 27, 2007 to Nov 2, 2007", 24 min. per ep., Baccano!, 13,"Action, Mystery, Comedy, Historical, Supernatural", バッカーノ！,"Funimation,       Aniplex of America ","Aniplex,       Sakura Create,       Happinet Pictures ",  #107, R - 17+ (violence & profanity),8.481 , Light novel,TV
107," Jul 11, 2015", 1 hr. 58 min., The Boy and the Beast, 1,"Adventure, Supernatural", バケモノの子,Funimation ,"Dentsu,       Yomiuri Telecasting,       Kadokawa Shoten,       Toho,       Nippon Television Network ",  #108, PG-13 - Teens 13 or older,8.481 , Original,Movie
108," Oct 1, 2011 to Mar 24, 2012", 24 min. per ep., Bakuman., 25,"Comedy, Drama, Romance, Shounen", バクマン。2ndシーズン,Media Blasters ,"NHK,       Shueisha ",  #109, PG-13 - Teens 13 or older,8.481 , Manga,TV
110," Oct 6, 2013 to Mar 30, 2014", 24 min. per ep., Kuroko's Basketball 2, 25,"Comedy, Sports, School, Shounen", 黒子のバスケ,"    None found, add some ","Bandai Visual,       Lantis,       Nihon Ad Systems,       Banpresto,       Shueisha,       BS11 ",  #111, PG-13 - Teens 13 or older,8.481 , Manga,TV
111," Jul 9, 2018 to ?", 24 min.,nan, Unknown,"Action, Adventure, Mystery, Comedy, Historical, Supernatural, Shounen Ai", 魔道祖师,"    None found, add some ",Tencent Penguin Pictures ,  #112, R - 17+ (violence & profanity),8.481 , Novel,ONA
112," Apr 7, 2013 to Sep 29, 2013", 24 min. per ep., Attack on Titan, 25,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen", 進撃の巨人,Funimation ,"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Mad Box,       Shingeki no Kyojin Team,       Pony Canyon Enterprise ",  #113, R - 17+ (violence & profanity),8.481 , Manga,TV
114," Jul 6, 2014 to Sep 28, 2014", 22 min. per ep., Barakamon, 12,"Comedy, Slice of Life", ばらかもん,Funimation ,"VAP,       Nippon Television Network ",  #115, PG-13 - Teens 13 or older,8.471 , Web manga,TV
115," Jan 12, 2013 to Jun 29, 2013", 22 min. per ep.,nan, 25,"Drama, Game, Josei, School, Slice of Life, Sports", ちはやふる 2,Sentai Filmworks ,"VAP,       Nippon Television Network ",  #116, PG-13 - Teens 13 or older,8.471 , Manga,TV
116," Oct 16, 1999 to Mar 31, 2001", 23 min. per ep., Hunter x Hunter, 62,"Action, Adventure, Super Power, Fantasy, Shounen", HUNTER×HUNTER（ハンター×ハンター）,Viz Media ,Fuji TV ,  #117, PG-13 - Teens 13 or older,8.471 , Manga,TV
117," Sep 29, 2012 to Mar 23, 2013", 22 min. per ep., From the New World, 25,"Sci-Fi, Mystery, Horror, Psychological, Supernatural, Drama", 新世界より,Sentai Filmworks ,"Aniplex,       TV Asahi,       Pony Canyon ",  #118, R - 17+ (violence & profanity),8.471 , Novel,TV
118," Oct 4, 2017 to Dec 20, 2017", 24 min. per ep., Food Wars! The Third Plate, 12,"Ecchi, School, Shounen", 食戟のソーマ 餐ノ皿,"    None found, add some ","Lantis,       Warner Bros.,       KlockWorx,       Shueisha ",  #119, PG-13 - Teens 13 or older,8.471 , Manga,TV
119," Oct 1, 2002 to Oct 1, 2003", 25 min. per ep., Ghost in the Shell: Stand Alone Complex, 26,"Action, Military, Sci-Fi, Police, Mecha, Seinen", 攻殻機動隊 STAND ALONE COMPLEX,"Bandai Entertainment,       Manga Entertainment ","Bandai Visual,       Dentsu,       Victor Entertainment,       Kodansha,       Trilogy Future Studio,       Tokuma Shoten,       Nippon Television Network ",  #120, R - 17+ (violence & profanity),8.461 , Manga,TV
120," Oct 7, 2017 to Dec 23, 2017", 24 min. per ep., Land of the Lustrous, 12,"Action, Drama, Fantasy, Mystery, Seinen", 宝石の国,Sentai Filmworks ,"Mainichi Broadcasting System,       Kodansha,       Movic,       AT-X,       TOHO animation,       Tokyo MX,       Q-Tec,       Kyoraku Industrial Holdings,       BS11 ",  #121, PG-13 - Teens 13 or older,8.461 , Manga,TV
122," Oct 8, 1997 to Apr 1, 1998", 25 min. per ep., Berserk, 25,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural", 剣風伝奇ベルセルク,"Media Blasters,       NYAV Post ","VAP,       Hakusensha,       Nippon Television Network ",  #123, R+ - Mild Nudity,8.461 , Manga,TV
124," Apr 3, 2010 to Sep 25, 2010", 24 min. per ep.,nan, 25,"Comedy, Drama, Shounen, Sports", メジャー 第6シリーズ,"    None found, add some ",NHK ,  #125, PG-13 - Teens 13 or older,8.461 , Manga,TV
125," Sep 27, 2017 to Oct 25, 2017", 23 min. per ep.,nan, 2,"Slice of Life, Supernatural, Drama, Fantasy, Shoujo", 夏目友人帳 陸 特別編,"    None found, add some ",NAZ ,  #126, PG-13 - Teens 13 or older,8.461 , Manga,Special
126," Oct 7, 2018 to ?", Unknown, Fairy Tail Final Series, Unknown,"Action, Magic, Adventure, Fantasy, Comedy, Shounen", FAIRY TAIL ファイナルシリーズ,Funimation ,Avex Pictures ,  #127, PG-13 - Teens 13 or older,8.451 , Manga,TV
128," Dec 16, 2011 to Jan 18, 2012", 28 min. per ep.,nan, 2,"Comedy, Drama, Shounen, Sports", メジャー ワールドシリーズ編,"    None found, add some ","    None found, add some ",  #129, PG-13 - Teens 13 or older,8.451 , Manga,OVA
129," Jul 13, 2007 to Sep 28, 2007", 22 min. per ep., Mononoke, 12,"Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen", モノノ怪,Flatiron Film Company ,Fuji TV ,  #130, R - 17+ (violence & profanity),8.451 , Original,TV
130," Oct 4, 2015 to Dec 20, 2015", 26 min. per ep., Owarimonogatari, 12,"Mystery, Comedy, Supernatural, Vampire", 終物語,Aniplex of America ,Aniplex ,  #131, R - 17+ (violence & profanity),8.451 , Light novel,TV
131," Feb 24, 2018", 1 hr. 55 min., Maquia: When the Promised Flower Blooms, 1,"Drama, Fantasy", さよならの朝に約束の花をかざろう,"    None found, add some ","Bandai Visual,       Lantis,       Rakuonsha,       Showgate,       Hakuhodo DY Music & Pictures,       Cygames ",  #132, PG-13 - Teens 13 or older,8.451 , Original,Movie
132," Apr 1, 2017 to Jun 17, 2017", 24 min. per ep., Attack on Titan Season 2, 12,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen", 進撃の巨人 Season 2,Funimation ,"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Mad Box,       Shingeki no Kyojin Team,       Pony Canyon Enterprise ",  #133, R - 17+ (violence & profanity),8.451 , Manga,TV
133," Jul 2, 2016 to Sep 24, 2016", 24 min. per ep., Food Wars! The Second Plate, 13,"Ecchi, School, Shounen", 食戟のソーマ 弍ノ皿,Sentai Filmworks ,"Dentsu,       Lantis,       Mainichi Broadcasting System,       KlockWorx,       Showgate,       Shueisha ",  #134, PG-13 - Teens 13 or older,8.451 , Manga,TV
134," May 25, 2012 to Oct 25, 2013", 25 min. per ep., Star Blazers: Space Battleship Yamato 2199, 26,"Action, Drama, Military, Sci-Fi, Space", 宇宙戦艦ヤマト2199,Funimation ,"Production I.G,       Bandai Visual,       OLM,       Lantis,       Shochiku,       Bandai,       Tohokushinsha Film Corporation,       Bandai Namco Games,       Voyager Entertainment ",  #135, PG-13 - Teens 13 or older,8.451 , Original,OVA
135," Oct 8, 2016 to Mar 18, 2017", 25 min. per ep., March comes in like a lion, 22,"Game, Slice of Life, Drama, Seinen", 3月のライオン,Aniplex of America ,"Aniplex,       Dentsu,       NHK,       Hakusensha,       Asmik Ace,       Toy's Factory ",  #136, PG-13 - Teens 13 or older,8.441 , Manga,TV
136," Oct 14, 2017", 2 hr., Fate/stay night: Heaven's Feel - I. Presage Flower, 1,"Action, Fantasy, Magic, Supernatural", 劇場版「Fate/stay night [Heaven's Feel] Ⅰ.presage flower」,Aniplex of America ,"Aniplex,       Notes ",  #137, R - 17+ (violence & profanity),8.441 , Visual novel,Movie
138," Apr 24, 2015 to May 5, 2018", 1 hr. 3 min. per ep., Mobile Suit Gundam: The Origin, 6,"Action, Military, Sci-Fi, Space, Mecha, Shounen", 機動戦士ガンダムTHE ORIGIN,NYAV Post ,"    None found, add some ",  #139, R+ - Mild Nudity,8.441 , Manga,OVA
139," Oct 12, 2012 to Mar 22, 2013", 23 min. per ep., Psycho-Pass, 22,"Action, Police, Psychological, Sci-Fi", サイコパス,Funimation ,"Dentsu,       Fuji TV,       Nitroplus,       Sony Music Entertainment,       Kyoraku Industrial Holdings ",  #140, R - 17+ (violence & profanity),8.441 , Original,TV
140," Apr 16, 1988", 1 hr. 26 min., My Neighbor Totoro, 1,"Adventure, Comedy, Supernatural", となりのトトロ,"Walt Disney Studios,       GKIDS ",Studio Fantasia ,  #141, G - All Ages,8.441 , Original,Movie
141," Apr 3, 2016 to Jun 26, 2016", 24 min. per ep., My Hero Academia, 13,"Action, Comedy, School, Shounen, Super Power", 僕のヒーローアカデミア,Funimation ,"Dentsu,       Mainichi Broadcasting System,       Movic,       TOHO animation,       Shueisha ",  #142, PG-13 - Teens 13 or older,8.431 , Manga,TV
142," Dec 9, 2016", 1 hr. 33 min.,nan, 1,"Adventure, Mystery, Comedy, Police, Shounen", 名探偵コナン エピソードONE 小さくなった名探偵,"    None found, add some ",YTV ,  #143, PG-13 - Teens 13 or older,8.431 , Manga,Special
143," Jul 27, 2009", 1 hr. 52 min., Evangelion: 2.0 You Can (Not) Advance, 1,"Action, Sci-Fi, Mecha", ヱヴァンゲリヲン新劇場版:破,Funimation ,"Gainax,       KlockWorx ",  #144, PG-13 - Teens 13 or older,8.431 , Original,Movie
144," Oct 2, 2011 to Dec 25, 2011", 28 min. per ep., Fate/Zero, 13,"Action, Supernatural, Magic, Fantasy", フェイト/ゼロ,Aniplex of America ,"Aniplex,       Nitroplus,       Seikaisha,       Notes ",  #145, R - 17+ (violence & profanity),8.431 , Novel,TV
145," Jan 26, 2010 to Dec 11, 2010", 50 min. per ep., Katanagatari, 12,"Action, Adventure, Historical, Martial Arts, Romance", 刀語,"NIS America, Inc. ","Aniplex,       Lantis,       Kodansha,       Movic,       Fuji TV ",  #146, R - 17+ (violence & profanity),8.431 , Light novel,TV
146," Jan 8, 2016", 1 hr. 4 min., Kizumonogatari Part 1: Tekketsu, 1,"Mystery, Supernatural, Vampire", 傷物語〈Ⅰ鉄血篇〉,Aniplex of America ,"Aniplex,       Kodansha ",  #147, R - 17+ (violence & profanity),8.431 , Light novel,Movie
147," Oct 6, 2013 to Mar 30, 2014", 25 min. per ep., Magi: The Kingdom of Magic, 25,"Action, Adventure, Magic, Fantasy, Shounen", マギ The kingdom of magic,Aniplex of America ,"Aniplex,       Dentsu,       Shogakukan Productions,       Mainichi Broadcasting System,       Movic,       GYAO! ",  #148, PG-13 - Teens 13 or older,8.431 , Manga,TV
148," Jul 9, 2009 to Sep 24, 2009", 24 min. per ep., Spice and Wolf II, 12,"Adventure, Historical, Romance, Fantasy", 狼と香辛料II,Funimation ,"Imagin,       flying DOG ",  #149, PG-13 - Teens 13 or older,8.431 , Light novel,TV
149," Apr 27, 2018 to May 11, 2018", 30 min. per ep., The King's Avatar (2018), 3,"Action, Game", 全职高手特别篇,"    None found, add some ","Tencent Penguin Pictures,       China Literature Limited,       Colored-Pencil Animation Design ",  #150, PG-13 - Teens 13 or older,8.431 , Novel,ONA
150," Jan 15, 1995 to Dec 17, 1995", 23 min. per ep., Romeo and the Black Brothers, 33,"Adventure, Drama, Historical, Slice of Life", ロミオの青い空,"    None found, add some ","    None found, add some ",  #151, PG-13 - Teens 13 or older,8.431 , Novel,TV
151," Apr 13, 2012 to Jun 29, 2012", 22 min. per ep., Kids on the Slope, 12,"Drama, Josei, Music, Romance, School", 坂道のアポロン,Sentai Filmworks ,"Dentsu,       Fuji TV,       Toho,       DAX Production,       Sony Music Entertainment ",  #152, PG-13 - Teens 13 or older,8.431 , Manga,TV
152," Oct 9, 2014 to Mar 26, 2015", 24 min. per ep., Shirobako, 24,"Comedy, Drama", SHIROBAKO,Sentai Filmworks ,"Sotsu,       Movic,       Warner Bros.,       KlockWorx,       Showgate,       Infinite ",  #153, PG-13 - Teens 13 or older,8.431 , Original,TV
153," Feb 22, 2012", 24 min., Steins;Gate: Egoistic Poriomania, 1,"Sci-Fi, Comedy, Thriller", シュタインズ ゲート 横行跋扈のポリオマニア,Funimation ,Frontier Works ,  #154, PG-13 - Teens 13 or older,8.431 , Visual novel,Special
154," Jan 10, 2009 to Dec 26, 2009", 25 min. per ep., Erin, 50,"Drama, Fantasy, Slice of Life", 獣の奏者エリン,"    None found, add some ",NHK ,  #155, PG-13 - Teens 13 or older,8.421 , Novel,TV
155," Apr 8, 2003 to Jul 8, 2003", 24 min. per ep., Kino's Journey, 13,"Action, Adventure, Psychological, Slice of Life", キノの旅 -the Beautiful World-,"ADV Films,       Sentai Filmworks ","WOWOW,       Genco,       Pony Canyon,       Studio Wombat,       chara-ani.com,       ASCII Media Works ",  #156, R - 17+ (violence & profanity),8.421 , Light novel,TV
156," Dec 9, 2014 to Apr 9, 2015", 27 min. per ep.,nan, 2,"Action, Fantasy, Shoujo", 進撃の巨人 悔いなき選択,"    None found, add some ","    None found, add some ",  #157, R - 17+ (violence & profanity),8.421 , Manga,OVA
157," Sep 1, 2001", 1 hr. 55 min., Cowboy Bebop: The Movie, 1,"Action, Drama, Mystery, Sci-Fi, Space", カウボーイビバップ 天国の扉,Sony Pictures Entertainment ,"Sunrise,       Bandai Visual ",  #158, R - 17+ (violence & profanity),8.411 , Original,Movie
158," Apr 6, 2015 to Mar 28, 2016", 24 min. per ep., Ace of Diamond: Second Season, 51,"Comedy, Sports, School, Shounen", ダイヤのA[エース]～Second Season～,"    None found, add some ","TV Tokyo,       Sotsu ",  #159, PG-13 - Teens 13 or older,8.411 , Manga,TV
159," Apr 4, 2016 to Sep 19, 2016", 25 min. per ep., Re:ZERO -Starting Life in Another World-, 25,"Drama, Fantasy, Psychological, Thriller", Re：ゼロから始める異世界生活,Funimation ,"TV Tokyo,       Media Factory,       Kadokawa Shoten,       AT-X,       Magic Capsule,       Memory-Tech,       Hakuhodo DY Music & Pictures ",  #160, R - 17+ (violence & profanity),8.411 , Light novel,TV
160," Oct 18, 2016", 6 min., Shelter, 1,"Sci-Fi, Music", シェルター,Crunchyroll ,Half H.P Studio ,  #161, G - All Ages,8.411 , Music,  Music
161," Apr 20, 2002", 1 hr. 47 min., Case Closed: The Phantom of Baker Street, 1,"Adventure, Mystery, Police, Shounen", 名探偵コナン　ベイカー街(ストリート)の亡霊,Funimation ,"    None found, add some ",  #162, PG-13 - Teens 13 or older,8.401 , Manga,Movie
162," Feb 20, 2016", 1 hr., Doukyusei -Classmates-, 1,"Slice of Life, Romance, School, Shounen Ai", 同級生,Aniplex of America ,"Aniplex,       Half H.P Studio ",  #163, PG-13 - Teens 13 or older,8.401 , Manga,Movie
163," Apr 5, 2015 to Jun 28, 2015", 23 min. per ep., Fate/stay night [Unlimited Blade Works] Season 2, 13,"Action, Fantasy, Magic, Supernatural", Fate/stay night [Unlimited Blade Works] 2nd シーズン,Aniplex of America ,"Aniplex,       Notes ",  #164, R - 17+ (violence & profanity),8.401 , Visual novel,TV
